[2026-04-24 00:00:54] [INFO] [API/UploadRecords] 收到同步请求, stationID=1, records=1
[2026-04-24 00:28:49] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:28:49] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:29:50] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:29:50] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:30:51] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:30:52] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:31:52] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:31:52] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:32:53] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:32:53] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:33:54] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:33:54] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:34:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:34:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:35:56] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:35:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:36:57] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:36:57] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:37:58] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:37:58] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:38:59] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:38:59] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:39:59] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:39:59] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:41:00] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:41:01] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:42:02] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:42:02] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:43:03] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:43:03] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:44:04] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:44:04] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:45:05] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:45:05] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:46:06] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:46:06] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:47:07] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:47:07] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:48:08] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:48:08] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
